front;back;tags;section
ema, ema, ema;mother;;1
hommik, hommiku, hommikut;morning;;1
Hommikust!;Good morning! (lit Morning!);;1
kullake(ne), kullakese, kullakest;sweetheart;;1
laps, lapse, last;child;;1
Tere hommikust!;Good morning! (lit Hello morning!);;1
mees, mehe, meest;man, husband;;1
noh;well, so;;1
Noh, nägemiseni siis!;Well, see you then!;;1
Nägemiseni!;Goodbye! (lit Till we see!);;1
Oi!;Oh!;;1
Tere!;Hello!;;1
isa, isa, isa;father;;1
Kõike head!;All the best!;;1
Nägemist!;Goodbye! (lit Till we see!);;1
Tere päevast!;Good afternoon! (lit Hello day!);;1
Tere-tere!;Hello there! (lit hello-hello);;1
Jah, homseni!;Right, till tomorrow!;;1
Kuulmiseni!;I'll be hearing from you!;;1
Tere õhtust!;Good evening! (lit Hello evening!);;1
Head õhtut!;Have a good evening! (lit Good evening!);;1
Head aega!;Goodbye!;;1
Kohe tulen!;I'll be right there! (lit right away I'll come);;1
Kuhu ma istun?;Where should I sit? (lit Where do I sit?);;1
neiu, neiu, neiut;young woman;;1
noor/mees, noor/mehe, noor/meest;young man;;1
siis;then;;1
Tšau!;Bye! (informal);;1
Helista siis mulle, palun!;Please call me then!;;1
Helista!;Call! (sing, informal);;1
helistan;I call;;1
Olgu, helistan!;OK, I will call!;;1
teller, telleri, tellerit;teller;;1
Ants, Antsu, Antsu;Ants (male name);;1
Homseni!;Till tomorrow!;;1
Jaan, Jaani, Jaani;Jaan (male name);;1
jah;yes, right;;1
enam;anymore;;1
Ma enam ei tee.;I won't do that anymore.;;1
naine, naise, naist;woman, wife;;1
Palun ära tee niimoodi!;Please don't do that! (lit Please don't do like that!);;1
õhtu, õhtu, õhtut;evening;;1
kohe;now, right away, in a moment;;1
siia;here;;1
Tule siia!;Come here! (sing, informal);;1
Tule!;Come! (sing, informal);;1
tulen;I come;;1
Istu palun!;Please, take a seat! (lit Sit, please!) (sing, informal);;1
Istu!;Sit! (sing, informal);;1
istun;I sit;;1
Kuhu?;Where?;;1
ma;I;;1
palun;please (also: I ask, beg);;1
Pole tänu väärt!;Don't mention it! (lit not worth to thank);;1
Olgu!;OK!;;1
aitäh;thanks, thank you;;1
ei;no;;1
Ei, aitäh.;No, thanks.;;1
Joo veel kohvi!;Drink more coffee!;;1
Joo!;Drink! (sing, informal);;1
kohv, kohvi, kohvi;coffee;;1
Ma rohkem ei taha.;I don't want anymore.;;1
noor, noore, noort;young;;1
Palun vabandust!;I'm sorry! (lit I ask for forgiveness);;1
Pole midagi!;It's OK.;;1
vana, vana, vana;old;;1
veel;more, still, yet;;1
Vabandust!;Sorry!;;1
banaan, banaani, banaani;banana;;1
Pole hullu!;It's OK! (lit Nothing crazy!);;1
Söö!;Eat! (sing, informal);;1
šokolaad, šokolaadi, šokolaadi;chocolate;;1
Ära söö!;Don't eat! (sing, informal);;1
suur, suure, suurt;big;;1
Suur tänu!;Thank you very much! (lit Big thank you!);;1
Kui palju kell on?;What's the time? (lit How much is the clock?);;1
Ma kohe vaatan.;I'll have a look(lit I'll look at once.);;1
veerand, veerandi, veerandit;quarter;;1
veerand kolm;quarter past two (lit a quarter towards three);;1
Ai!;Ouch!;;1
Appi!;Oh dear! (lit Help!);;1
juuksur, juuksuri, juuksurit;hairdresser;;1
klient, kliendi, klienti;client;;1
kolm/veerand, kolm/veerandi, kolm/veerandit;three quarters;;1
Pole viga!;It's OK! (lit No problem!);;1
Anna andeks!;I'm sorry! (lit Forgive me!);;1
kell, kella, kella;clock, watch;;1
Kell on …;It's … (lit Clock is …);;1
Mis kell on?;What's the time? (lit What's the clock?);;1
Mis?;What?;;1
üks, ühe, üht(e);one;;1
juba;already;;1
seitse, seitsme, seitset;seven;;1
Kui palju …?;How much …?;;1
pool, poole, poolt;half;;1
pool seitse;half past six (lit half towards seven);;1
hetk, hetke, hetke;moment;;1
kolm, kolme, kolme;three;;1
reisi/saatja, reisi/saatja, reisi/saatjat;conductor;;1
reisija, reisija, reisijat;passenger;;1
vaatan;I look;;1
Üks hetk.;Just a moment(lit one moment);;1
kaks/teist, kahe/teist/kümne, kaht/teist/kümmet;twelve;;1
kolmveerand kaksteist;quarter to twelve (lit three quarters to twelve);;1
Piret, Pireti, Piretit;Piret (female name);;1
Ülle, Ülle, Üllet;Ülle (female name);;1
Epp, Epu, Eppu;Epp (female name);;2
koer, koera, koera;dog;;2
mina (ma), minu (mu), mind;I;;2
Muki, Muki, Mukit;Muki (dog's name);;2
nunnu, nunnu, nunnut;cute;;2
Peep, Peebu, Peepu;Peep (male name);;2
Peeter, Peetri, Peetrit;Peeter (male name);;2
see, selle, seda;this, it;;2
tema (ta), tema (ta), teda;he, she;;2
Tiina, Tiina, Tiinat;Tiina (female name);;2
direktor, direktori, direktorit;headmaster, director;;2
ja;and;;2
Maarja, Maarja, Maarjat;Maarja (female name);;2
Maria, Maria, Mariat;Maria (female name);;2
meeldiv, meeldiva, meeldivat;pleasant;;2
Saage tuttavaks!;Please get acquainted!;;2
sama, sama, sama;same;;2
Samad sõnad!;Nice to meet you too! (lit [The same words!);;2
sõna, sõna, sõna;word;;2
väga;very;;2
Väga meeldiv!;Nice to meet you! (lit Very pleasant!);;2
õpetaja, õpetaja, õpetajat;teacher;;2
õuna/puu, õuna/puu, õuna/puud;apple tree;;2
Anna, Anna, Annat;Anna (female name);;2
Anton, Antoni, Antonit;Anton (male name);;2
ei ole;"negative form of the verb "" to be""";;2
õpilane, õpilase, õpilast;student, pupil;;2
Anu-Liis , Anu-Liisi, Anu-Liisi;Anu-Liis (female name);;2
karu, karu, karu;bear;;2
